,Estimate!!Total!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Unemployment rate!!Population 20 to 64 years,NCESDist,year,School District Type
1,468218,359791,55.0,66.9,7.4,6.7,0619540,2019,Secondary
2,109418,78462,54.8,72.0,7.4,5.4,0606034,2019,Secondary
3,292413,223546,52.0,63.7,6.4,6.2,0602820,2019,Secondary
4,93354,60383,53.4,68.7,7.4,5.4,0606019,2019,Secondary
5,95161,60424,56.4,76.3,4.2,3.9,0601650,2019,Secondary
6,324683,255737,64.9,76.6,4.0,3.9,0602630,2019,Secondary
7,182855,144318,66.5,78.8,3.0,3.1,0607230,2019,Secondary
8,114726,93421,68.0,78.5,3.9,3.3,0607920,2019,Secondary
9,338709,266457,64.3,75.7,4.2,4.0,0608160,2019,Secondary
10,58894,42991,60.6,72.3,5.5,4.1,0699011,2019,Secondary
11,64227,43518,61.7,79.6,3.3,2.3,0630250,2019,Secondary
12,79908,54681,59.1,75.7,1.8,1.6,0630750,2019,Secondary
13,146915,106923,62.5,79.1,3.2,2.7,0633630,2019,Secondary
14,129762,101943,61.2,72.3,4.0,4.0,0633980,2019,Secondary
15,139036,97916,62.0,77.8,3.2,2.9,0634380,2019,Secondary
16,202771,149177,67.2,82.0,2.9,3.0,0634980,2019,Secondary
17,62898,43316,61.7,79.0,5.2,5.1,0635110,2019,Secondary
18,110574,81579,60.8,74.5,4.6,4.2,0635670,2019,Secondary
19,168781,123579,64.6,79.2,2.7,2.1,0635830,2019,Secondary
20,205952,157158,67.1,80.6,2.8,2.7,0636390,2019,Secondary
21,82127,56769,55.0,72.0,4.5,4.2,0636600,2019,Secondary
22,120240,96295,47.0,56.6,12.5,10.9,0636972,2019,Secondary
23,397443,303270,55.8,67.5,9.6,8.6,0638640,2019,Secondary
24,95653,64005,62.0,80.0,3.4,3.3,0638790,2019,Secondary
25,55901,42686,57.7,70.7,6.1,5.4,0639930,2019,Secondary
26,171938,129309,60.3,74.2,3.5,3.0,0642480,2019,Secondary
27,208779,159685,61.2,73.5,3.6,3.4,0642510,2019,Secondary
28,-999999999,-999999999,-999999999.0,-999999999.0,-999999999.0,-999999999.0,0610860,2019,Secondary
29,445625,342632,65.7,79.2,4.5,4.5,0611820,2019,Secondary
30,118439,78822,54.5,73.4,4.1,4.3,0612070,2019,Secondary
31,142085,104678,58.3,74.0,4.4,4.3,0612120,2019,Secondary
32,135094,99648,59.0,72.4,3.8,3.8,0612910,2019,Secondary
33,188172,146697,65.4,78.4,2.2,2.2,0614430,2019,Secondary
34,208709,157979,64.1,78.0,4.8,4.2,0614760,2019,Secondary
35,391914,291009,58.5,72.7,6.6,5.8,0616230,2019,Secondary
36,56856,43781,52.5,65.0,8.5,8.5,0616500,2019,Secondary
37,268457,194895,62.0,77.6,4.8,4.3,0618060,2019,Secondary
38,122050,90756,66.0,83.0,3.1,3.0,0618930,2019,Secondary
39,99440,72255,63.0,76.9,2.9,2.7,0621600,2019,Secondary
40,137172,106224,57.4,68.9,9.6,8.5,0624660,2019,Secondary
41,211497,158512,55.7,69.3,7.3,6.8,0625150,2019,Secondary
42,96912,75135,67.0,79.8,2.9,2.7,0626310,2019,Secondary
43,74329,46552,51.5,71.1,2.1,2.4,0626880,2019,Secondary
44,263863,197839,61.3,74.9,4.7,4.5,0629270,2019,Secondary
